,ID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,condition,text,name,consent,commit,frame_pov,time_pov_1,time_pov_2,time_pov_3,time_pov_4,frame_ind,time_ind_1,time_ind_2,time_ind_3,time_ind_4,frame.com,tim_com_1,tim_com_2,tim_com_3,tim_com_4,donation_pov_1,donation_pov_2,mission,encourage,statement1,stat.ladder_14,stat.me.N,stat.me.N_reversed,spot1,recip.improve,recip.impact,recip.ladder_14,comp.intro,check.wage,check.who,intro,priorgiving,age,gender,income,hhsize,educ,educ.parent,race,party,religion,religiosity,pwe_4,usemoney,feedback.survey,code,LocationLatitude,LocationLongitude,LocationAccuracy,in.progress,survey.id,failchecks,usa.ip,dup_IP,stat.me
1,R_3Jf2V5OXcKjXr1G,Default Response Set,Anonymous,,,,0,12/15/18 15:03,12/15/18 15:05,1,,poverty,"The goal of the <strong>Poverty Alleviation Organization</strong> is to alleviate poverty and reduce financial hardship among the poor. This organization believes that people living in poverty should be given income support to help them meet their basic needs. This organization aims to help promote a decent standard of living among the poor and help them deal with emergencies.<BR><BR>Thus, the Poverty Alleviation Organization gives financial assistance to people to help them make ends meet. For example, with the financial assistance, people might be able to struggle less to afford basic needs, like paying off debts, paying rent, and buying clothes and food. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial assistance to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.",Poverty Alleviation Organization,1,1,1,7.161,7.161,18.836,1,,,,,,,,,,,100,0,1,1,1,4,,4,4,5,5,1,1,2,1,1,1,27,1,50000,3,5,3,1,3,6,1,2,food,no,1,,,,0,R_3Jf2V5OXcKjXr1G,FALSE,,FALSE,4
2,R_1n3nstJ0Tf7OGyM,Default Response Set,Anonymous,,,,0,12/15/18 15:02,12/15/18 15:06,1,,poverty,"The goal of the <strong>Poverty Alleviation Organization</strong> is to alleviate poverty and reduce financial hardship among the poor. This organization believes that people living in poverty should be given income support to help them meet their basic needs. This organization aims to help promote a decent standard of living among the poor and help them deal with emergencies.<BR><BR>Thus, the Poverty Alleviation Organization gives financial assistance to people to help them make ends meet. For example, with the financial assistance, people might be able to struggle less to afford basic needs, like paying off debts, paying rent, and buying clothes and food. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial assistance to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.",Poverty Alleviation Organization,1,1,1,0,0,19.579,0,,,,,,,,,,,10,90,1,3,1,7,3,,2,5,1,1,1,2,1,1,2,34,2,70000,4,6,7,1,4,2,4,2,I think they will spend the money on food or maybe small luxuries.,,1,,,,0,R_1n3nstJ0Tf7OGyM,FALSE,,FALSE,3
3,R_2P6SIAGO7ogeYkD,Default Response Set,Anonymous,,,,0,12/15/18 15:02,12/15/18 15:06,1,,community,"The goal of the <strong>Community Empowerment Organization</strong> is to enable people to help promote better futures for those they care about and want to support most. The organization believes that people know best how to support each other and grow together if they have financial resources to do so. This organization aims to empower people to improve their own lives and those of the people and communities they care about most. <BR><BR>Thus, the Community Empowerment Organization gives financial resources to community members to enable them to contribute positively to the lives of people important to them. For example, when people can invest in themselves, they are better able to expand employment opportunities for others, provide valuable services to their community, or teach others, including children, useful skills and knowledge. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.",Community Empowerment Organization,1,1,,,,,,,,,,,1,0.832,7.844,19.603,6,75,25,1,3,1,5,,4,2,2,1,1,1,1,1,1,1,45,1,50000,4,3,6,1,1,1,4,2,food,none,1,,,,0,R_2P6SIAGO7ogeYkD,FALSE,,FALSE,4
4,R_Q5MTKeHVmwcH9MR,Default Response Set,Anonymous,,,,0,12/15/18 15:02,12/15/18 15:06,1,,poverty,"The goal of the <strong>Poverty Alleviation Organization</strong> is to alleviate poverty and reduce financial hardship among the poor. This organization believes that people living in poverty should be given income support to help them meet their basic needs. This organization aims to help promote a decent standard of living among the poor and help them deal with emergencies.<BR><BR>Thus, the Poverty Alleviation Organization gives financial assistance to people to help them make ends meet. For example, with the financial assistance, people might be able to struggle less to afford basic needs, like paying off debts, paying rent, and buying clothes and food. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial assistance to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.",Poverty Alleviation Organization,1,1,1,1.05,3.465,26.078,4,,,,,,,,,,,100,0,1,3,1,2,3,,2,5,2,1,1,2,1,1,1,24,1,10000,4,5,5,1,2,2,1,2,Food,,1,,,,0,R_Q5MTKeHVmwcH9MR,FALSE,,FALSE,3
5,R_3EzBRkZhrtNNyy9,Default Response Set,Anonymous,,,,0,12/15/18 15:03,12/15/18 15:06,1,,individual,"The goal of the <strong>Individual Empowerment Organization</strong>  is to promote individuals' potential to create a better future for themselves. The organization believes that individuals are wise and know best how to help themselves become self-reliant if they have the financial resources to do so. This organization aims to empower individuals to pursue their personal interests and create their own path to independence. <BR><BR>Thus, the Individual Empowerment Organization gives financial resources to individuals to enable them to invest in their personal goals. For example, people might use their unique talents to start a self-run business, invest in job training courses, or create art.  <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.",Individual Empowerment Organization,1,1,,,,,,1,25.636,26.247,29.768,2,,,,,,75,25,1,2,1,7,,5,2,5,3,2,1,1,1,1,2,38,2,50000,4,3,5,1,3,2,2,2,Supplies for a business,,1,,,,0,R_3EzBRkZhrtNNyy9,FALSE,,FALSE,5
6,R_1dnz6FoO9cLKpnq,Default Response Set,Anonymous,,,,0,12/15/18 15:03,12/15/18 15:06,1,,individual,"The goal of the <strong>Individual Empowerment Organization</strong>  is to promote individuals' potential to create a better future for themselves. The organization believes that individuals are wise and know best how to help themselves become self-reliant if they have the financial resources to do so. This organization aims to empower individuals to pursue their personal interests and create their own path to independence. <BR><BR>Thus, the Individual Empowerment Organization gives financial resources to individuals to enable them to invest in their personal goals. For example, people might use their unique talents to start a self-run business, invest in job training courses, or create art.  <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.",Individual Empowerment Organization,1,1,,,,,,1,0,0,27.652,0,,,,,,10,90,1,4,1,5,,5,4,2,3,2,1,1,1,1,1,40,1,30000,3,3,3,1,3,6,1,2,Basic needs and starting new opportunities,None,1,,,,0,R_1dnz6FoO9cLKpnq,FALSE,,FALSE,5
7,R_3MxS1uIJYNukKta,Default Response Set,Anonymous,,,,0,12/15/18 15:02,12/15/18 15:07,1,,individual,"The goal of the <strong>Individual Empowerment Organization</strong>  is to promote individuals' potential to create a better future for themselves. The organization believes that individuals are wise and know best how to help themselves become self-reliant if they have the financial resources to do so. This organization aims to empower individuals to pursue their personal interests and create their own path to independence. <BR><BR>Thus, the Individual Empowerment Organization gives financial resources to individuals to enable them to invest in their personal goals. For example, people might use their unique talents to start a self-run business, invest in job training courses, or create art.  <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.",Individual Empowerment Organization,1,1,,,,,,1,0,0,85.903,0,,,,,,80,20,1,3,1,7,5,,2,5,4,7,1,2,1,1,2,33,2,150000,1,6,6,5,3,4,2,2,FOOD,,1,,,,0,R_3MxS1uIJYNukKta,FALSE,,FALSE,5
8,R_3NPpXoRkWhl9m6A,Default Response Set,Anonymous,,,,0,12/15/18 15:04,12/15/18 15:07,1,,community,"The goal of the <strong>Community Empowerment Organization</strong> is to enable people to help promote better futures for those they care about and want to support most. The organization believes that people know best how to support each other and grow together if they have financial resources to do so. This organization aims to empower people to improve their own lives and those of the people and communities they care about most. <BR><BR>Thus, the Community Empowerment Organization gives financial resources to community members to enable them to contribute positively to the lives of people important to them. For example, when people can invest in themselves, they are better able to expand employment opportunities for others, provide valuable services to their community, or teach others, including children, useful skills and knowledge. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.",Community Empowerment Organization,1,1,,,,,,,,,,,1,0,0,30.689,0,95,5,1,2,1,5,,6,2,3,2,2,1,2,1,1,1,28,1,50000,1,5,5,1,3,3,1,2,Basic necessities such as food or shelter,No.,1,,,,0,R_3NPpXoRkWhl9m6A,FALSE,,FALSE,6
9,R_3n6LwwkAOcUkaRU,Default Response Set,Anonymous,,,,0,12/15/18 15:03,12/15/18 15:08,1,,community,"The goal of the <strong>Community Empowerment Organization</strong> is to enable people to help promote better futures for those they care about and want to support most. The organization believes that people know best how to support each other and grow together if they have financial resources to do so. This organization aims to empower people to improve their own lives and those of the people and communities they care about most. <BR><BR>Thus, the Community Empowerment Organization gives financial resources to community members to enable them to contribute positively to the lives of people important to them. For example, when people can invest in themselves, they are better able to expand employment opportunities for others, provide valuable services to their community, or teach others, including children, useful skills and knowledge. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.",Community Empowerment Organization,1,1,,,,,,,,,,,1,33.392,33.392,35.389,1,50,50,1,5,1,7,,3,1,2,1,6,1,2,1,1,2,38,2,110000,3,5,5,1,3,3,1,2,"food, shelter, basic needs",,1,,,,0,R_3n6LwwkAOcUkaRU,FALSE,,FALSE,3
10,R_2Uc3v6lXygDRzab,Default Response Set,Anonymous,,,,0,12/15/18 15:03,12/15/18 15:08,1,,poverty,"The goal of the <strong>Poverty Alleviation Organization</strong> is to alleviate poverty and reduce financial hardship among the poor. This organization believes that people living in poverty should be given income support to help them meet their basic needs. This organization aims to help promote a decent standard of living among the poor and help them deal with emergencies.<BR><BR>Thus, the Poverty Alleviation Organization gives financial assistance to people to help them make ends meet. For example, with the financial assistance, people might be able to struggle less to afford basic needs, like paying off debts, paying rent, and buying clothes and food. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial assistance to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.",Poverty Alleviation Organization,1,1,1,0,0,16.494,0,,,,,,,,,,,90,10,1,2,1,5,,2,1,2,2,1,1,1,1,1,2,33,1,50000,1,6,2,1,2,2,5,2,Basic necessities,it was clear and understandable ,1,,,,0,R_2Uc3v6lXygDRzab,FALSE,,FALSE,2
