"","NA.","ID","ResponseSet","Name","ExternalDataReference","EmailAddress","IPAddress","Status","StartDate","EndDate","Finished","MTurkCode","condition","text","name","consent","commit","frame_pov","time_pov_1","time_pov_2","time_pov_3","time_pov_4","frame_ind","time_ind_1","time_ind_2","time_ind_3","time_ind_4","frame.com","tim_com_1","tim_com_2","tim_com_3","tim_com_4","donation_pov_1","donation_pov_2","mission","encourage","statement1","stat.ladder_14","stat.me.N","stat.me.N_reversed","spot1","recip.improve","recip.impact","recip.ladder_14","comp.intro","check.wage","check.who","intro","priorgiving","age","gender","income","hhsize","educ","educ.parent","race","party","religion","religiosity","pwe_4","usemoney","feedback.survey","code","LocationLatitude","LocationLongitude","LocationAccuracy","in.progress","survey.id","failchecks","usa.ip","dup_IP","stat.me","treat","pov","ind","com","donation_me","donation_org","donated","donor_status","recip.impact_r","recip.improve_r","recip.ladder_r","priordonor","gen.fem","income.hh","hi.income.hh","hi.income","edu.self.ba","edu.par.ba","race.minor","is.religi","is.chr","is.dem","priordonor.c","gen.fem.c","hi.income.hh.c","edu.self.ba.c","race.minor.c","is.religi.c","is.chr.c","is.dem.c"
"1",1,"R_3Jf2V5OXcKjXr1G","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:03","12/15/18 15:05",1,NA,"poverty","The goal of the <strong>Poverty Alleviation Organization</strong> is to alleviate poverty and reduce financial hardship among the poor. This organization believes that people living in poverty should be given income support to help them meet their basic needs. This organization aims to help promote a decent standard of living among the poor and help them deal with emergencies.<BR><BR>Thus, the Poverty Alleviation Organization gives financial assistance to people to help them make ends meet. For example, with the financial assistance, people might be able to struggle less to afford basic needs, like paying off debts, paying rent, and buying clothes and food. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial assistance to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Poverty Alleviation Organization",1,1,1,7.161,7.161,18.836,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,1,1,1,4,NA,4,3,5,5,1,1,2,1,1,1,27,1,50000,3,5,3,1,3,6,1,2,"food","no",1,NA,NA,NA,0,"R_3Jf2V5OXcKjXr1G",FALSE,NA,FALSE,4,"Pov",1,0,0,100,0,FALSE,4,3,3,10,0,0,28867.5134594813,0,0,1,0,0,0,1,1,-0.470631424375918,-0.515062454077884,-0.488921713441654,0.454812637766348,-0.258633357825129,-0.386480529022777,0.483468038207201,0.563556208670096
"2",2,"R_1n3nstJ0Tf7OGyM","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:02","12/15/18 15:06",1,NA,"poverty","The goal of the <strong>Poverty Alleviation Organization</strong> is to alleviate poverty and reduce financial hardship among the poor. This organization believes that people living in poverty should be given income support to help them meet their basic needs. This organization aims to help promote a decent standard of living among the poor and help them deal with emergencies.<BR><BR>Thus, the Poverty Alleviation Organization gives financial assistance to people to help them make ends meet. For example, with the financial assistance, people might be able to struggle less to afford basic needs, like paying off debts, paying rent, and buying clothes and food. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial assistance to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Poverty Alleviation Organization",1,1,1,0,0,19.579,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,90,1,3,1,7,3,NA,2,5,1,1,1,2,1,1,2,34,2,70000,4,6,7,1,4,2,4,2,"I think they will spend the money on food or maybe small luxuries.",NA,1,NA,NA,NA,0,"R_1n3nstJ0Tf7OGyM",FALSE,NA,FALSE,3,"Pov",1,0,0,10,90,TRUE,7,7,3,10,1,1,35000,1,1,1,1,0,1,0,0,0.529368575624082,0.484937545922116,0.511078286558346,0.454812637766348,-0.258633357825129,0.613519470977223,-0.516531961792799,-0.436443791329904
"3",3,"R_2P6SIAGO7ogeYkD","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:02","12/15/18 15:06",1,NA,"community","The goal of the <strong>Community Empowerment Organization</strong> is to enable people to help promote better futures for those they care about and want to support most. The organization believes that people know best how to support each other and grow together if they have financial resources to do so. This organization aims to empower people to improve their own lives and those of the people and communities they care about most. <BR><BR>Thus, the Community Empowerment Organization gives financial resources to community members to enable them to contribute positively to the lives of people important to them. For example, when people can invest in themselves, they are better able to expand employment opportunities for others, provide valuable services to their community, or teach others, including children, useful skills and knowledge. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Community Empowerment Organization",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.832,7.844,19.603,6,75,25,1,3,1,5,NA,4,2,2,1,1,1,1,1,1,1,45,1,50000,4,3,6,1,1,1,4,2,"food","none",1,NA,NA,NA,0,"R_2P6SIAGO7ogeYkD",FALSE,NA,FALSE,4,"Com",0,0,1,75,25,TRUE,5,7,6,10,0,0,25000,0,0,0,1,0,1,0,0,-0.470631424375918,-0.515062454077884,-0.488921713441654,-0.545187362233652,-0.258633357825129,0.613519470977223,-0.516531961792799,-0.436443791329904
"4",4,"R_Q5MTKeHVmwcH9MR","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:02","12/15/18 15:06",1,NA,"poverty","The goal of the <strong>Poverty Alleviation Organization</strong> is to alleviate poverty and reduce financial hardship among the poor. This organization believes that people living in poverty should be given income support to help them meet their basic needs. This organization aims to help promote a decent standard of living among the poor and help them deal with emergencies.<BR><BR>Thus, the Poverty Alleviation Organization gives financial assistance to people to help them make ends meet. For example, with the financial assistance, people might be able to struggle less to afford basic needs, like paying off debts, paying rent, and buying clothes and food. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial assistance to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Poverty Alleviation Organization",1,1,1,1.05,3.465,26.078,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,1,3,1,2,3,NA,2,5,2,1,1,2,1,1,1,24,1,10000,4,5,5,1,2,2,1,2,"Food",NA,1,NA,NA,NA,0,"R_Q5MTKeHVmwcH9MR",FALSE,NA,FALSE,3,"Pov",1,0,0,100,0,FALSE,2,6,3,10,0,0,5000,0,0,1,1,0,0,0,0,-0.470631424375918,-0.515062454077884,-0.488921713441654,0.454812637766348,-0.258633357825129,-0.386480529022777,-0.516531961792799,-0.436443791329904
"5",5,"R_3EzBRkZhrtNNyy9","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:03","12/15/18 15:06",1,NA,"individual","The goal of the <strong>Individual Empowerment Organization</strong>  is to promote individuals' potential to create a better future for themselves. The organization believes that individuals are wise and know best how to help themselves become self-reliant if they have the financial resources to do so. This organization aims to empower individuals to pursue their personal interests and create their own path to independence. <BR><BR>Thus, the Individual Empowerment Organization gives financial resources to individuals to enable them to invest in their personal goals. For example, people might use their unique talents to start a self-run business, invest in job training courses, or create art.  <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Individual Empowerment Organization",1,1,NA,NA,NA,NA,NA,1,25.636,26.247,29.768,2,NA,NA,NA,NA,NA,75,25,1,2,1,7,NA,5,2,5,3,2,1,1,1,1,2,38,2,50000,4,3,5,1,3,2,2,2,"Supplies for a business",NA,1,NA,NA,NA,0,"R_3EzBRkZhrtNNyy9",FALSE,NA,FALSE,5,"Ind",0,1,0,75,25,TRUE,7,5,3,9,1,1,25000,0,0,0,1,0,0,0,1,0.529368575624082,0.484937545922116,-0.488921713441654,-0.545187362233652,-0.258633357825129,-0.386480529022777,-0.516531961792799,0.563556208670096
"6",6,"R_1dnz6FoO9cLKpnq","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:03","12/15/18 15:06",1,NA,"individual","The goal of the <strong>Individual Empowerment Organization</strong>  is to promote individuals' potential to create a better future for themselves. The organization believes that individuals are wise and know best how to help themselves become self-reliant if they have the financial resources to do so. This organization aims to empower individuals to pursue their personal interests and create their own path to independence. <BR><BR>Thus, the Individual Empowerment Organization gives financial resources to individuals to enable them to invest in their personal goals. For example, people might use their unique talents to start a self-run business, invest in job training courses, or create art.  <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Individual Empowerment Organization",1,1,NA,NA,NA,NA,NA,1,0,0,27.652,0,NA,NA,NA,NA,NA,10,90,1,4,1,5,NA,5,3,2,3,2,1,1,1,1,1,40,1,30000,3,3,3,1,3,6,1,2,"Basic needs and starting new opportunities","None",1,NA,NA,NA,0,"R_1dnz6FoO9cLKpnq",FALSE,NA,FALSE,5,"Ind",0,1,0,10,90,TRUE,5,5,6,9,0,0,17320.5080756888,0,0,0,0,0,0,1,1,-0.470631424375918,-0.515062454077884,-0.488921713441654,-0.545187362233652,-0.258633357825129,-0.386480529022777,0.483468038207201,0.563556208670096
"7",7,"R_3MxS1uIJYNukKta","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:02","12/15/18 15:07",1,NA,"individual","The goal of the <strong>Individual Empowerment Organization</strong>  is to promote individuals' potential to create a better future for themselves. The organization believes that individuals are wise and know best how to help themselves become self-reliant if they have the financial resources to do so. This organization aims to empower individuals to pursue their personal interests and create their own path to independence. <BR><BR>Thus, the Individual Empowerment Organization gives financial resources to individuals to enable them to invest in their personal goals. For example, people might use their unique talents to start a self-run business, invest in job training courses, or create art.  <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Individual Empowerment Organization",1,1,NA,NA,NA,NA,NA,1,0,0,85.903,0,NA,NA,NA,NA,NA,80,20,1,3,1,7,5,NA,2,5,4,7,1,2,1,1,2,33,2,150000,1,6,6,5,3,4,2,2,"FOOD",NA,1,NA,NA,NA,0,"R_3MxS1uIJYNukKta",FALSE,NA,FALSE,5,"Ind",0,1,0,80,20,TRUE,7,4,3,4,1,1,150000,1,1,1,1,1,0,0,1,0.529368575624082,0.484937545922116,0.511078286558346,0.454812637766348,0.741366642174871,-0.386480529022777,-0.516531961792799,0.563556208670096
"8",8,"R_3NPpXoRkWhl9m6A","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:04","12/15/18 15:07",1,NA,"community","The goal of the <strong>Community Empowerment Organization</strong> is to enable people to help promote better futures for those they care about and want to support most. The organization believes that people know best how to support each other and grow together if they have financial resources to do so. This organization aims to empower people to improve their own lives and those of the people and communities they care about most. <BR><BR>Thus, the Community Empowerment Organization gives financial resources to community members to enable them to contribute positively to the lives of people important to them. For example, when people can invest in themselves, they are better able to expand employment opportunities for others, provide valuable services to their community, or teach others, including children, useful skills and knowledge. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Community Empowerment Organization",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,30.689,0,95,5,1,2,1,5,NA,6,2,3,2,2,1,2,1,1,1,28,1,50000,1,5,5,1,3,3,1,2,"Basic necessities such as food or shelter","No.",1,NA,NA,NA,0,"R_3NPpXoRkWhl9m6A",FALSE,NA,FALSE,6,"Com",0,0,1,95,5,TRUE,5,6,5,9,0,0,50000,1,0,1,1,0,0,0,1,-0.470631424375918,-0.515062454077884,0.511078286558346,0.454812637766348,-0.258633357825129,-0.386480529022777,-0.516531961792799,0.563556208670096
"9",9,"R_3n6LwwkAOcUkaRU","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:03","12/15/18 15:08",1,NA,"community","The goal of the <strong>Community Empowerment Organization</strong> is to enable people to help promote better futures for those they care about and want to support most. The organization believes that people know best how to support each other and grow together if they have financial resources to do so. This organization aims to empower people to improve their own lives and those of the people and communities they care about most. <BR><BR>Thus, the Community Empowerment Organization gives financial resources to community members to enable them to contribute positively to the lives of people important to them. For example, when people can invest in themselves, they are better able to expand employment opportunities for others, provide valuable services to their community, or teach others, including children, useful skills and knowledge. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial resources to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Community Empowerment Organization",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,33.392,33.392,35.389,1,50,50,1,5,1,7,NA,3,1,2,1,6,1,2,1,1,2,38,2,110000,3,5,5,1,3,3,1,2,"food, shelter, basic needs",NA,1,NA,NA,NA,0,"R_3n6LwwkAOcUkaRU",FALSE,NA,FALSE,3,"Com",0,0,1,50,50,TRUE,7,7,6,5,1,1,63508.5296108588,1,1,1,1,0,0,0,1,0.529368575624082,0.484937545922116,0.511078286558346,0.454812637766348,-0.258633357825129,-0.386480529022777,-0.516531961792799,0.563556208670096
"10",10,"R_2Uc3v6lXygDRzab","Default Response Set","Anonymous",NA,NA,NA,0,"12/15/18 15:03","12/15/18 15:08",1,NA,"poverty","The goal of the <strong>Poverty Alleviation Organization</strong> is to alleviate poverty and reduce financial hardship among the poor. This organization believes that people living in poverty should be given income support to help them meet their basic needs. This organization aims to help promote a decent standard of living among the poor and help them deal with emergencies.<BR><BR>Thus, the Poverty Alleviation Organization gives financial assistance to people to help them make ends meet. For example, with the financial assistance, people might be able to struggle less to afford basic needs, like paying off debts, paying rent, and buying clothes and food. <BR><BR>Towards that mission, this nonprofit gives one-time transfers of financial assistance to people in urban slums in Nairobi, Kenya, East Africa. They give each recipient $4 USD (about two days wages) in cash. These program recipients are people who live on less than $2 per day, and half of recipients have no savings.","Poverty Alleviation Organization",1,1,1,0,0,16.494,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,10,1,2,1,5,NA,2,1,2,2,1,1,1,1,1,2,33,1,50000,1,6,2,1,2,2,5,2,"Basic necessities","it was clear and understandable ",1,NA,NA,NA,0,"R_2Uc3v6lXygDRzab",FALSE,NA,FALSE,2,"Pov",1,0,0,90,10,TRUE,5,6,6,10,1,0,50000,1,0,1,0,0,1,0,0,0.529368575624082,-0.515062454077884,0.511078286558346,0.454812637766348,-0.258633357825129,0.613519470977223,-0.516531961792799,-0.436443791329904
